route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,jp_trip_desc,jp_trip_desc_symbol,jp_office_id
dentetsu_1_1091_1_20260314,dentetsu_1_2_20260314,dentetsu_2_201000045_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_2_20260314,dentetsu_2_201000096_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_2_20260314,dentetsu_2_201000311_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_2_20260314,dentetsu_2_201000074_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_2_20260314,dentetsu_2_201000241_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_2_20260314,dentetsu_2_201000227_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_2_20260314,dentetsu_2_201000108_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_3_20260314,dentetsu_3_301000019_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_3_20260314,dentetsu_3_301000046_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_3_20260314,dentetsu_3_301000173_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_3_20260314,dentetsu_3_301000020_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_3_20260314,dentetsu_3_301000137_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_3_20260314,dentetsu_3_301000169_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_3_20260314,dentetsu_3_301000080_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_3_20260314,dentetsu_3_301000122_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_3_20260314,dentetsu_3_301000008_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_3_20260314,dentetsu_3_301000561_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_3_20260314,dentetsu_3_301000049_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_3_20260314,dentetsu_3_301000010_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000107_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000101_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000220_20260314,菊池温泉・市民広場前,,,,,,,1
